"tail","tarsus","hoof","horns","ear","head","withers","length","Weight_corr","TestWeight_corr","perifatmass","kmass","kidneyindexcorreg","day","month","groupMonth","year","season","habitat","habitatidx1","habitatidx2","northSouth","sex","classage1","pregnant","sexgroup","sexualstate","weight","lengthtotail","testLength","pesotes","kidneyindex","logkfi","raizkfi","method","embryoLength","embryoWeight"
7,"12.6","1.7","3.3","4.6","13.1","35.1",55,"3.75","7.5","1.7","8.4","20.2",8,2,"Jan-Feb (Dry1)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.75",62,"3.2","7.5","20.2","1.3","4.5","Gun",0,0
"6.1","12.8","2.1","2.2","4.8","11.8","30.2","47.2","2.42",0,1,"8.1","12.3",8,2,"Jan-Feb (Dry1)",2013,"Dry","NA",99,99,"South","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.42","53.3","NA","NA","12.3","1.1","3.5","Gun",0,0
"4.6","14.1","1.8","3.6","4.2","11.8","31.5","54.2","2.79","1.8",1,"7.7","15.7",8,2,"Jan-Feb (Dry1)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.79","58.8","1.7","1.8","NA","NA","NA","Gun",0,0
"5.9","14.2","2.1","1.3","4.4","11.3","30.1",48,"2.22",0,"2.2","6.2","35.5",9,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.22","53.9","NA","NA","35.5","1.6",6,"Gun",0,0
"9.6",14,2,"2.4","4.5","12.8","27.5","51.5","2.88",0,"0.2","7.3","2.7",13,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.88","61.1","NA","NA","2.7","0.6","1.7","Trap",0,0
"8.2",13,"2.1","3.7","4.4","12.3","31.3","54.2","3.33","8.1","0.7","8.7",8,13,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.33","62.4","3.3","8.1",8,1,"2.8","Trap",0,0
"6.9",15,"1.7",3,"4.7","12.3","31.5","52.5","3.09",3,"8.5",8,"82.2",14,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.09","NA","3.2",3,"NA","NA","NA","Trap",0,0
"7.3","15.4","2.2","2.7","4.6",13,"36.5","56.5","3.68",0,0,"12.2",0,14,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.75","63.8","NA","NA",0,0,0,"Trap",8,"14.9"
"6.3","13.4","1.6",1,"3.7","9.9","26.5",40,"1.28",0,0,"4.8",0,20,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","1.28","46.3","NA","NA",0,0,0,"Trap",0,0
8,16,"2.1","2.7","4.6","13.6",32,60,"3.86",0,0,"13.1",0,20,2,"Jan-Feb (Dry1)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.86",68,"NA","NA",0,0,0,"Gun",0,0
6,"15.3","2.3","3.5","4.2","12.5",34,"54.9","3.4","7.2",0,12,0,22,2,"Jan-Feb (Dry1)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.4","60.9","3.4","7.2",0,0,0,"Trap",0,0
"7.1","14.8","2.2","5.1","4.4",12,30,"50.2","3.02","4.6",0,"8.9",0,22,2,"Jan-Feb (Dry1)",2013,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.02","57.3","3.2","4.6",0,0,0,"Trap",0,0
"8.2","15.4","2.2","5.3","4.2","11.9","34.5","55.4","3.09","6.5","1.7","8.4","20.2",25,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.09","63.6","3.5","6.5","20.2","1.3","4.5","Trap",0,0
"9.8",15,"2.3","4.3","4.8","12.6",32,"56.5","3.73","5.3","1.3","11.9","10.9",25,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.73","66.3","2.8","5.3","10.9","1.1","3.3","Trap",0,0
"7.4","14.6","1.9","2.4","4.3","12.1",30,"52.5","2.63",0,"0.8","7.8","10.3",25,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.63","59.9","NA","NA","10.3","1.1","3.2","Trap",0,0
"7.1",15,"1.8","0.8","4.5","11.2",24,43,"2.15",0,"4.5","4.1","62.3",25,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","NA","NA","NA","NA","NA","NA","NA","Trap",21,"325.3"
9,16,"2.5","3.1","4.6","12.5",33,53,"3.64",0,0,"9.6",0,25,2,"Jan-Feb (Dry1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","NA","NA","NA","NA","NA","NA","NA","Trap",20,"270.7"
8,"15.2","2.3","3.1",5,"13.6","33.2","52.8","3.31",0,"2.2","6.8","32.4",6,3,"Mar-Apr (Wet1)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.42","NA","NA","NA","32.4","1.5","5.7","Gun","10.5","43.51"
"7.5","16.1","2.3","1.8","5.6","13.3","33.4","52.1","3.29",0,"3.2","7.7","41.6",6,3,"Mar-Apr (Wet1)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","3.61","59.6","NA","NA","41.6","1.6","6.4","Gun","18.5","200.23"
"9.5","16.7","2.3","2.8",5,"14.3","36.2",58,"4.43",0,"1.4","12.8","10.9",8,3,"Mar-Apr (Wet1)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","4.5","67.5","NA","NA","10.9","1.1","3.3","Trap","6.3","10.98"
"8.1",17,"2.3","2.6","4.9","13.6","32.1","59.5","4.18",0,0,"12.1",0,8,3,"Mar-Apr (Wet1)",2013,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","4.18","67.6","NA","NA",0,0,0,"Trap",0,0
"8.6","16.4",2,"3.8",5,"13.3","31.4","57.6","3.99",0,"3.2","11.9","26.9",8,3,"Mar-Apr (Wet1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.99","107.6","NA","NA","26.9","1.4","5.2","Gun",0,0
"7.5","15.7","2.4","2.7","5.1","12.9","33.8","56.8","3.55",0,0,"8.9",0,11,3,"Mar-Apr (Wet1)",2013,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.55","64.3","NA","NA",0,0,0,"Trap",0,0
"7.9","15.5","2.3","4.4","4.6","13.2","30.5","61.6","4.33","8.9","0.5","10.2","4.9",13,3,"Mar-Apr (Wet1)",2013,"Dry","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","4.33","69.5","3.9","8.9","4.9","0.8","2.2","Gun",0,0
"8.6","14.3","2.2","3.1","5.1","13.3","31.5",54,"4.43",0,0,"7.3",0,13,3,"Mar-Apr (Wet1)",2013,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","4.43","62.6","NA","NA",0,0,0,"Gun",0,0
