"file","date","walkNr","wday","ENMO_mean_wb5","ENMO_sd_wb5...6","dur_wb5","dur_wb_10_90_3m_i2m_wb5","ENMO_sd_wb5...9","ENMO_mean_wb_10_90_3m_i2m_wb5","VPA_pc_wb5","wb01_pc_wb5","fragwb01"
"01003__036170_2021-04-22_22-39-12",2021-03-26,1,5,164.13,155.57,47.42,30.58,155.57,225.5,0.122943905525095,0.903205398566006,0.0933924819052066
"01007_06__054079_2020-10-17_09-23-07",2020-10-09,1,5,107.34,61.5,41.08,32.67,61.5,116.31,0.00194741966893866,0.951314508276534,0.0767656090071648
"01009_06__036159_2020-10-28_18-29-55",2020-10-24,1,6,143.1,70.09,13.17,11.33,70.09,155.08,0.00607441154138193,0.949126803340926,0.16
"01009_08_036190_2022-06-10_17",2022-06-12,2,7,144.03,99.4,18.17,14.67,99.4,165.6,0.00935608145294441,0.85305448541552,0.193548387096774
"01010_06__054077_2020-10-17_09-46-55",2020-10-11,1,7,151.37,96.22,96.17,76.42,96.22,187.68,0.00259956327337007,0.800665488197983,0.025974025974026
"01010_06__054077_2020-10-17_09-46-55",2020-10-12,1,1,167.53,86.26,60.83,56.08,86.26,177.75,0.00953476902843991,0.964491204997534,0.0340889722174876
"01010_06__054077_2020-10-17_09-46-55",2020-10-14,1,3,137.55,86.26,76.5,60.25,86.26,159.37,0.00222222222222222,0.786535947712418,0.0664783114508891
"01010_06__054077_2020-10-17_09-46-55",2020-10-16,2,5,222.99,98.7,22.83,22.5,98.7,225.9,0.00744634253175646,0.985545335085414,0.0888888888888889
"01010__036190_2021-05-18_21-17-32",2021-05-11,1,2,299.12,162.25,12.75,8.75,162.25,376.75,0.307450980392157,0.967058823529412,0.16220600162206
"01010__036190_2021-05-18_21-17-32",2021-05-12,2,3,306.15,116.48,38.42,38.25,116.48,306.89,0.123633524206143,1,0.0260281103591879
"01010__036190_2021-05-18_21-17-32",2021-05-13,3,4,194.35,133.85,152.08,126.58,133.85,219.64,0.0761441346659653,0.854813256180957,0.0461538461538462
"01010__036190_2021-05-18_21-17-32",2021-05-16,2,7,182.78,134.42,245.58,163.67,134.42,246.44,0.0451176805928822,0.734668946982653,0.0387983593836604
"01018_06__036164_2020-10-17_09-23-44",2020-10-14,1,3,130.24,74.25,78.67,68,74.25,143.97,0.00419473751112241,0.83475276471336,0.137048880767474
"01018_06__036164_2020-10-17_09-23-44",2020-10-15,1,4,102.07,68.75,86.17,56.33,68.75,125.38,0.00290124173146107,0.750493211094348,0.108241843203959
"01020__036175",2021-05-11,4,2,138.31,127.06,26.33,21.67,127.06,140.91,0.0220281048233954,0.823015571591341,0.138440239963083
"01020__036175",2021-05-15,2,6,113.64,38.4,114.5,114.25,38.4,113.82,0.000698689956331878,0.984017467248908,0.0355019082275672
"01021_06__036194_2020-10-23_14-43-09",2020-10-16,1,5,185.81,90.54,12.25,9.92,90.54,195.86,0.0204081632653061,0.965714285714286,0.169061707523246
"01021_06__036194_2020-10-23_14-43-09",2020-10-17,1,6,182.41,81.27,35.42,31.17,81.27,193.56,0.0093167701863354,0.919819311123659,0.0920810313075506
"01021_06__036194_2020-10-23_14-43-09",2020-10-18,1,7,159.1,75.89,34.42,27.25,75.89,175.68,0.00493898895990703,0.902963393375944,0.0965250965250965
"01023_06__028297",2020-10-22,1,4,145.79,45.55,46.25,45.83,45.55,146.54,0.00172972972972973,0.987459459459459,0.0437924239106635
"01024__054088",2021-05-11,1,2,190.04,95.88,11.08,8.67,95.88,217.8,0.0072202166064982,0.827617328519856,0.218102508178844
"01024__054088_2021-05-19_11-22-02_partial",2021-05-11,1,2,190.04,95.88,11.08,8.67,95.88,217.8,0.0072202166064982,0.827617328519856,0.218102508178844
"01029_06__054080_2020-10-17_09-23-19",2020-10-09,2,5,192.95,76.78,15.83,15.58,76.78,194.82,0.00505369551484523,0.958307012002527,0.1318391562294
"01030_05_028276_08-16_05_2019",2019-05-12,2,7,119.88,43.28,17.58,17.33,43.28,120.01,0.00455062571103527,1,0.0568828213879408
"01031_06__054082_2020-10-17_09-23-12",2020-10-11,1,7,186.88,171.34,15.5,9.33,171.34,219.47,0.0109677419354839,0.978709677419355,0.1318391562294
"01031_06__054082_2020-10-17_09-23-12",2020-10-12,1,1,223.52,180.74,13.83,13.58,180.74,227.02,0.0303687635574837,1,0.0723065798987708
"01035_06__054073_2020-10-17_09-43-59",2020-10-08,2,4,207.17,188.68,13.5,12.75,188.68,217.02,0.0311111111111111,1,0.0740740740740741
"01049_06__028286_2020-11-05_15-47-39",2020-10-30,1,5,147.07,100.69,75.5,45.08,100.69,195.15,0.00105960264900662,0.800264900662252,0.099304865938431
"01049_06__028286_2020-11-05_15-47-39",2020-11-05,1,4,178.09,113.63,16.83,16.08,113.63,182.78,0.0101010101010101,1,0.05941770647653
"01084_06__036145_2020-11-09",2020-11-03,2,2,276.82,272.08,22.5,14.33,272.08,335.24,0.214666666666667,0.874222222222222,0.152516522623284
"01084_06__036145_2020-11-09",2020-11-03,3,2,151.42,156.1,58.17,43,156.1,177.85,0.0888774282276087,0.865222623345367,0.0993443274389032
"01084_06__036145_2020-11-09",2020-11-05,1,4,183.57,177.75,40.17,32.42,177.75,216.76,0.0789146128951954,0.896191187453323,0.111111111111111
"01084_06__036145_2020-11-09",2020-11-05,2,4,326.53,260.68,11.67,11.5,260.68,329.19,0.271636675235647,0.957155098543273,0.17905102954342
"01084_06__036145_2020-11-09",2020-11-08,1,7,127.26,65.41,81.33,76.83,65.41,131.31,0.0061477929423337,0.985737120373786,0.0374204814768617
"01085_06__052414_2020-11-04_10-46-32",2020-10-24,1,6,93.38,80.74,59.58,28.75,80.74,125.01,0.0181268882175227,0.918932527693857,0.127853881278539
"01086_06__028300_2020-11-13_13-49-42",2020-11-04,1,3,210.51,151.59,65.33,49,151.59,251.94,0.103321598040716,0.829174957906016,0.0738416097470925
"01086_06__028300_2020-11-13_13-49-42",2020-11-05,2,4,201.25,85.15,29,24.67,85.15,210.05,0.00586206896551724,0.988620689655172,0.069759330310429
"01086_06__028300_2020-11-13_13-49-42",2020-11-06,1,5,140.98,101.14,47.75,23.67,101.14,203.25,0.00879581151832461,0.830785340314136,0.126039828585833
"01086_06__028300_2020-11-13_13-49-42",2020-11-07,1,6,181.56,106.26,39,27.67,106.26,210.04,0.0256410256410256,0.799230769230769,0.0962463907603465
"01086_06__028300_2020-11-13_13-49-42",2020-11-10,1,2,207.68,108.11,39.33,34.17,108.11,232.54,0.0127129417747267,0.851767098906687,0.119402985074627
"01086_06__028300_2020-11-13_13-49-42",2020-11-11,1,3,239.32,76,13,12.75,76,242.74,0.00615384615384615,1,0.0769230769230769
"01086_06__028300_2020-11-13_13-49-42",2020-11-11,2,3,129.69,95.57,14.83,11.08,95.57,148.98,0.0283209710047202,0.955495616992583,0.211714890613973
"01086_06__028300_2020-11-13_13-49-42",2020-11-12,1,4,212.02,113.26,22.67,18.67,113.26,236.1,0.0220555800617556,0.852668725187472,0.155199172271081
"01086_06__028300_2020-11-13_13-49-42",2020-11-13,1,5,172.23,135.23,39.5,35.17,135.23,175.83,0.0632911392405063,0.953670886075949,0.0796389700026546
"01090_06__054081_2020-11-03_13-24-20",2020-10-26,2,1,150.66,58.96,67,63.67,58.96,156.87,0.00373134328358209,0.958955223880597,0.0311284046692607
"01090_06__054081_2020-11-03_13-24-20",2020-10-28,1,3,122.49,50.8,102.08,93.17,50.8,129.75,0.000783699059561129,0.979623824451411,0.03
"01090_06__054081_2020-11-03_13-24-20",2020-10-28,3,3,218.3,230.01,40,19.42,230.01,154.38,0.2105,0.75,0.166666666666667
"01090_06__054081_2020-11-03_13-24-20",2020-10-30,1,5,125.36,46.41,108.25,94.58,46.41,134.7,0.000739030023094688,0.98540415704388,0.01874941408081
"01093_06__054089_2020-11-17_20-40-05",2020-11-07,2,6,164.69,59.64,16,15.67,59.64,167.39,0.005,1,0.0625
"01103_05__036189_quito18-12-19_1715",2019-12-12,2,4,192.65,130.62,12.08,11.17,130.62,194.97,0.076158940397351,0.910596026490066,0.181818181818182
"01105_06__054078_2020-11-11_12-37-45",2020-10-31,1,6,176.08,88.55,71.5,61.92,88.55,191.06,0.00811188811188811,0.869510489510489,0.0482547852662056
"01105_06__054078_2020-11-11_12-37-45",2020-11-02,1,1,189.74,91.16,73.33,61,91.16,209.74,0.01363698349925,0.868266739397245,0.047117951939689
"01105_06__054078_2020-11-11_12-37-45",2020-11-03,1,2,151.04,58.86,52.5,47.25,58.86,162.06,0.00152380952380952,0.977714285714286,0.0389635690629262
"01105_06__054078_2020-11-11_12-37-45",2020-11-04,1,3,149.02,70.24,48.83,41.08,70.24,158.13,0.00163833708785583,0.9420438255171,0.0869565217391304
"01105_06__054078_2020-11-11_12-37-45",2020-11-05,1,4,166.49,97.25,93.83,60.58,97.25,214.06,0.00980496642864755,0.735372482148567,0.0869565217391304
"01105_06__054078_2020-11-11_12-37-45",2020-11-06,1,5,213.82,56.8,69.33,69.17,56.8,213.97,0.00836578681667388,0.99524015577672,0.0289855072463768
"01105_06__054078_2020-11-11_12-37-45",2020-11-07,1,6,187.45,83.33,69.17,60.25,83.33,203.14,0.00722856729796154,0.87219893017204,0.0497265042267529
"01105_06__054078_2020-11-11_12-37-45",2020-11-08,1,7,198.7,90.32,80,64.25,90.32,233.14,0.00525,0.891625,0.0420580400953316
"01105_06__054078_2020-11-11_12-37-45",2020-11-09,1,1,166.27,104.9,70.67,50.25,104.9,207.39,0.0247629828781661,0.820716003962077,0.0689655172413793
"01107_05__052413_2019-11-28_15-42-48",2019-11-14,1,4,101.14,61.75,133.67,88.25,61.75,131.17,0.000598488815740256,0.740629909478567,0.0505050505050505
"01107_05__052413_2019-11-28_15-42-48",2019-11-15,1,5,374.88,338.42,50.5,31.67,338.42,354.09,0.381188118811881,0.683168316831683,0.202898550724638
"01107_05__052413_2019-11-28_15-42-48",2019-11-21,1,4,398.31,312.26,15.67,11.83,312.26,435.36,0.435864709636248,0.94639438417358,0.202292650033715
"01107_06__036152_2020-11-13_15-26-16",2020-11-04,1,3,492.08,375.74,49.5,39.58,375.74,518.62,0.513535353535354,0.915757575757576,0.132362673726009
"01107_06__036152_2020-11-13_15-26-16",2020-11-05,1,4,141.31,92.76,17.5,11.83,92.76,178,0.00971428571428572,0.981142857142857,0.11648223645894
"01107_06__036152_2020-11-13_15-26-16",2020-11-06,1,5,498.44,386.06,42.33,23.58,386.06,546.66,0.523742026931254,0.720529175525632,0.229508196721311
"01107_06__036152_2020-11-13_15-26-16",2020-11-09,1,1,437.4,395.09,33,17,395.09,599.99,0.456969696969697,0.722121212121212,0.251783466219052
"01117_05__052412_2020-11-17_21-05-07",2020-11-07,1,6,137.72,100.69,17.83,4.25,100.69,199.16,0.0235558048233315,0.981491867638811,0.114285714285714
"01121_04_036193_24_07-01_08_2019",2019-07-25,1,4,292.73,96.01,12,11.75,96.01,297.69,0.035,1,0.0833333333333333
"01121_04_036193_24_07-01_08_2019",2019-07-26,1,5,271.2,94.78,17.83,17.42,94.78,276.74,0.0325294447560292,1,0.0560852495793606
"01121_04_036193_24_07-01_08_2019",2019-07-27,1,6,297.24,150.69,21.83,19.58,150.69,325.1,0.236830050389372,0.916170407695831,0.1
"01121_04_036193_24_07-01_08_2019",2019-07-29,1,1,147.47,73.01,39,32.42,73.01,173.52,0.00205128205128205,0.854615384615385,0.09000900090009
"01121_04_036193_24_07-01_08_2019",2019-07-30,1,2,339,115.31,18.33,18.17,115.31,340.38,0.190943807965085,1,0.0545553737043099
"01121_04_036193_24_07-01_08_2019",2019-07-31,1,3,238.88,92,13.83,13.58,92,242.18,0.0180766449746927,1,0.0723065798987708
"01122_06__054082",2020-12-20,2,7,98.35,41.26,48.75,41.08,41.26,103.87,0.00164102564102564,0.98625641025641,0.0415973377703827
"01139_queVisita__028276_2019-01-18_12-31-47",2018-12-13,1,4,155.28,79.58,31.75,27.5,79.58,167.29,0.00251968503937008,0.913385826771654,0.0689655172413793
"01140__054085_2021-02-19_18-50-40",2021-02-12,1,5,132.3,45.31,65.42,63.75,45.31,134.69,0.00122286762457964,1,0.0152858453072455
"01141__036170_2021-03-05_10-37-40",2021-02-22,1,1,89.32,47.48,109.67,87.67,47.48,100.05,0.00155010486003465,0.882921491747971,0.0929464009088092
"01141__052410_2021-05-18_16-09-10",2021-05-11,2,2,153.67,74.01,16.08,11.58,74.01,169.79,0.00497512437810945,0.932835820895523,0.133333333333333
"01147_06__036160_2020-12-04_20-33-13",2020-11-25,1,3,182.04,75.12,95.08,87.42,75.12,191.28,0.000841396718552798,0.920277660917122,0.0685714285714286
"01165_05__036193_2020-11-13_14-15-32",2020-11-10,1,2,195.91,78.62,12.17,11.33,78.62,204.65,0.00657354149548069,0.958915365653246,0.171379605826907
"01165__036164_2021-03-23_16-45-17",2021-03-09,1,2,210.49,78.8,18.83,12.92,78.8,243.16,0.0042485395645247,0.955921402018056,0.111111111111111
"01165__036164_2021-03-23_16-45-17",2021-03-10,2,3,176.4,63.54,18.83,16.17,63.54,189.28,0.0042485395645247,0.885289431757833,0.11997600479904
"01165__054093_2021-04-29_15-16-18",2021-04-19,2,1,148.79,142.74,18,11.83,142.74,120.29,0.0461111111111111,0.847222222222222,0.131147540983607
"01171_05__018008_2020-11-06_20-08-36",2020-11-04,2,3,72.85,54.34,78.42,42.58,54.34,99.45,0.00102014792144861,0.78321856669217,0.113969391077825
"01171_05__018008_2020-11-06_20-08-36",2020-11-05,1,4,157.78,130.31,30.92,23.17,130.31,197.48,0.0378395860284605,0.835381630012937,0.154858691444057
"01171__028276_2021-05-18_16-09-25",2021-05-11,1,2,154.4,155.46,36.33,32.08,155.46,165.83,0.057252958987063,0.968070465180292,0.0852999715666761
"01171__028276_2021-05-18_16-09-25",2021-05-13,1,4,164.1,159.3,63.33,41.92,159.3,188.59,0.0592136428233065,0.800094741828517,0.0789421748569173
"01179_06__036179_2020-11-25_11-49-09",2020-11-19,1,4,122.78,74.05,17.17,11.5,74.05,151.08,0.0046592894583576,0.834595224228305,0.209351011863224
"01179__028282_2021-05-24_11-10-37",2021-05-14,1,5,172.46,83.36,23.67,23.42,83.36,173.45,0.00718208702999578,0.929446556822983,0.136363636363636
"01181_03_036170_25_04-03_05_2019",2019-04-29,1,1,160.16,70.68,13.75,12,70.68,172.36,0.00581818181818182,1,0.0727272727272727
"01181_03_036170_25_04-03_05_2019",2019-05-02,2,4,78.57,50.87,61.42,22.42,50.87,118.34,0.00130250732660371,0.740801042005861,0.131868131868132
"01181_04_052425_08-16_07_2019",2019-07-11,1,4,139.8,79.08,25.42,19.75,79.08,161.05,0.00668764752163651,0.924468922108576,0.170212765957447
"01181_04_052425_08-16_07_2019",2019-07-11,3,4,113.59,89.12,30.58,23,89.12,133.23,0.0163505559189012,0.918247220405494,0.106837606837607
"01181_04_052425_08-16_07_2019",2019-07-15,1,1,159.82,81.1,12.08,11.92,81.1,160.54,0.00662251655629139,1,0.0827814569536424
"01181_04_052425_08-16_07_2019",2019-07-15,3,1,84.38,55.6,30.08,9.5,55.6,114.76,0.00265957446808511,0.789561170212766,0.126315789473684
"01181_04_052425_08-16_07_2019",2019-07-17,1,3,148.8,49.76,19.42,19.25,49.76,149.63,0.00411946446961895,1,0.0514933058702369
"01181__036149_2021-05-18_16-08-50",2021-05-11,1,2,141.68,80.47,43.67,33.83,80.47,164.35,0.00183192122738722,0.942752461644149,0.0971581248481904
"01181__036149_2021-05-18_16-08-50",2021-05-12,2,3,129.39,72.82,51.33,33.42,72.82,161.2,0.00155854276251705,0.857198519384376,0.113636363636364
"01181__036149_2021-05-18_16-08-50",2021-05-14,1,5,185.11,63.37,62.33,59.17,63.37,189.89,0.00272741857853361,0.973367559762554,0.0494478325366738
"01181__036149_2021-05-18_16-08-50",2021-05-16,1,7,154.28,54.77,67.5,59.17,54.77,168.54,0.00118518518518519,0.951851851851852,0.0466926070038911
"01183_05__015667_2020-10-22_20-44-28",2020-10-13,1,2,103.53,55.9,78.5,75.75,55.9,104.81,0.00101910828025478,0.983057324840764,0.051833614098743
"01187_04_036186_11-19_07_2019",2019-07-14,4,7,252.99,82.41,12.5,12.25,82.41,257.07,0.0136,1,0.08
"01187_04_036186_11-19_07_2019",2019-07-18,1,4,173.62,102.19,27.67,20.67,102.19,199.75,0.00289121792555114,0.867365377665341,0.125
"01188_04_028299_12-20-07-2019",2019-07-12,1,5,151.76,60.09,58.83,51.08,60.09,166.24,0.00135985041645419,0.889512153663097,0.0573284922606535
"01188_04_028299_12-20-07-2019",2019-07-16,1,2,162.81,61.58,22,21.25,61.58,164.26,0.00363636363636364,1,0.0454545454545455
"01188_04_028299_12-20-07-2019",2019-07-16,2,2,145.82,60.59,77.33,66.83,60.59,157.08,0.00103452735031682,0.922410448726238,0.0420580400953316
"01188_04_028299_12-20-07-2019",2019-07-16,3,2,104.35,50.17,46.67,43.08,50.17,110.66,0.00171416327405185,0.958860081422755,0.0670391061452514
"01188_04_028299_12-20-07-2019",2019-07-18,1,4,150.01,79.07,25.67,16.67,79.07,184.28,0.00311647837943124,0.863654070899883,0.13531799729364
"01188_04_028299_12-20-07-2019",2019-07-19,1,5,126.56,72.25,37.33,27.92,72.25,151.45,0.00669702652022502,0.776855076346102,0.103448275862069
"01188__054084_2021-03-23_15-46-41",2021-03-05,1,5,131.6,69.42,28.5,18.83,69.42,142.48,0.00596491228070175,0.87719298245614,0.08
"01188__054084_2021-03-23_15-46-41",2021-03-12,1,5,169.51,50.91,14.33,13.58,50.91,176.77,0.00558269364968597,1,0.0697836706210747
"01188__054084_2021-03-23_15-46-41",2021-03-13,1,6,128.39,67.58,31.17,24.08,67.58,151.65,0.00256657042027591,0.943856272056465,0.0679809653297077
"01189_05__054088",2020-07-26,1,7,139.14,64.99,102.5,83.92,64.99,161.98,0.0024390243902439,0.834146341463415,0.0350877192982456
"01189_05__054088",2020-07-27,1,1,165.54,46.4,74.17,70.17,46.4,171.36,0.00229203181879466,0.966293649723608,0.0279056788056369
"01189_05__054088",2020-07-28,1,2,202.15,70.09,125.5,115.92,70.09,205.49,0.010597609561753,0.978725099601594,0.0244240006513067
"01189_05__054088",2020-07-28,2,2,151.66,66.09,18.5,13.42,66.09,173.12,0.00432432432432432,0.936756756756757,0.115406809001731
"01189_05__054088",2020-07-30,2,4,148.71,79.26,221.67,171.42,79.26,183.78,0.00112780258943475,0.792484323544007,0.0227699664142995
"01189__028276_2021-03-23_16-32-50",2021-03-05,1,5,198.01,89.18,12.92,12.75,89.18,199.54,0.0325077399380805,1,0.0773993808049536
"01189__028276_2021-03-23_16-32-50",2021-03-08,1,1,154.9,42.3,122.75,120.42,42.3,157.41,0.00065173116089613,0.9810183299389,0.0249128051818635
"01193_04_052425_10-18_09-_2019",2019-09-11,2,3,188.97,108.8,11.33,10.58,108.8,199.57,0.0511915269196823,1,0.088261253309797
"01193_04_052425_10-18_09-_2019",2019-09-11,3,3,127.9,94.63,132.08,112.83,94.63,128.36,0.0151423379769836,0.866293155663234,0.0436986540814543
"01193_04_052425_10-18_09-_2019",2019-09-12,3,4,191.63,175.97,80.67,70.25,175.97,166.91,0.0629726044378331,0.881120614850626,0.0422059651097355
"01193_04_052425_10-18_09-_2019",2019-09-13,5,5,194.6,111.46,18.83,18.5,111.46,195.84,0.0621348911311737,1,0.0531067445565587
"01193_04_052425_10-18_09-_2019",2019-09-13,6,5,165.87,69.8,20.83,20.58,69.8,167.48,0.0158425348055689,1,0.0480076812289966
"01193_04_052425_10-18_09-_2019",2019-09-13,7,5,137.94,83.91,18.5,17.67,83.91,140.98,0.0135135135135135,1,0.0540540540540541
"01193_04_052425_10-18_09-_2019",2019-09-15,4,7,202.76,118.38,40.33,39.58,118.38,205.67,0.0391767914703695,0.975204562360526,0.0508517670989067
"01193_04_052425_10-18_09-_2019",2019-09-16,4,1,224.91,181.64,34.5,33.08,181.64,229.1,0.0942028985507246,0.966086956521739,0.06000600060006
"01193_04_052425_10-18_09-_2019",2019-09-17,3,2,298.44,190.51,23.17,22.83,190.51,302.2,0.233923176521364,1,0.0431592576607682
"01193_05__052411_2020-10-17_09-23-16",2020-10-11,4,7,170.87,126.22,22,16.5,126.22,186.56,0.0718181818181818,1,0.0454545454545455
"01193_05__052411_2020-10-17_09-23-16",2020-10-11,5,7,125.24,98.27,62.33,61.5,98.27,126.01,0.0173271297930371,0.991978180651372,0.0323467572375869
"01193_05__052411_2020-10-17_09-23-16",2020-10-16,1,5,160.87,106.8,18.83,15.17,106.8,189.23,0.0531067445565587,0.885289431757833,0.11997600479904
"01193__036177_2021-03-13_12-05-42",2021-02-25,1,4,149.05,145.97,157.67,140.33,145.97,156.36,0.0232764634997146,0.925477262637154,0.034265350877193
"01193__036177_2021-03-13_12-05-42",2021-02-26,1,5,195.03,88.94,60.83,54.92,88.94,207.93,0.0205490711819826,0.964491204997534,0.0340889722174876
"01193__036177_2021-03-13_12-05-42",2021-02-26,2,5,145.52,71.7,133.42,109.33,71.7,160.46,0.00314795383001049,0.921301154249738,0.0488122356003905
"01193__036177_2021-03-13_12-05-42",2021-02-26,3,5,169.33,123.39,94.75,74.25,123.39,211.43,0.0308179419525066,0.800316622691293,0.0659369642621654
"01193__036177_2021-03-13_12-05-42",2021-02-27,1,6,177.82,112.18,72.17,61.83,112.18,201.83,0.0253567964528197,0.886795067202439,0.078125
"01193__036177_2021-03-13_12-05-42",2021-02-27,2,6,164.82,131.55,143.33,116.58,131.55,189.91,0.0389311379334403,0.901207004814065,0.0464504141828598
"01193__036177_2021-03-13_12-05-42",2021-02-28,3,7,145.11,88.51,158.33,147.08,88.51,153.8,0.0173687867112992,0.940567169835154,0.0470051034112275
"01193__036177_2021-03-13_12-05-42",2021-03-01,1,1,198.59,124.28,124,103.67,124.28,230.47,0.0396774193548387,0.844112903225806,0.0477691793254992
"01193__036177_2021-03-13_12-05-42",2021-03-01,2,1,100.01,75.83,102.17,52.58,75.83,148.06,0.00489380444357443,0.691690320054811,0.0707513796519032
"01193__036177_2021-03-13_12-05-42",2021-03-02,3,2,219.54,117.48,21.25,16.17,117.48,255.73,0.0432941176470588,1,0.0470588235294118
"01193__036177_2021-03-13_12-05-42",2021-03-02,5,2,115.18,79.48,83.67,57.83,79.48,144.1,0.00597585753555635,0.854547627584558,0.0839160839160839
"01193__036177_2021-03-13_12-05-42",2021-03-02,6,2,99.91,42.92,139.17,122.08,42.92,108.97,0.000574836530861536,0.911978156211827,0.0551528521903561
"01193__036177_2021-03-13_12-05-42",2021-03-03,2,3,102.28,65.99,17.58,17.25,65.99,103.84,0.00967007963594995,1,0.0568828213879408
"01193__036177_2021-03-13_12-05-42",2021-03-04,2,4,98.13,67.59,43.58,34.08,67.59,120.63,0.0018357044515833,0.841441027994493,0.0545404963185165
"01199_05__036159_2020-10-15_13-56-21",2020-10-05,1,1,195.9,161.66,13.83,5.17,161.66,213.99,0.126536514822849,0.93998553868402,0.230769230769231
"01201_05__052409_2020-10-20_15-26-16",2020-10-10,1,6,155.97,151.43,151.92,123.92,151.43,171.91,0.0559505002632965,0.8634149552396,0.0457421666539605
"01201_05__052409_2020-10-20_15-26-16",2020-10-11,1,7,147.94,164.22,274.08,172.92,164.22,181.52,0.0535245183887916,0.839791301809691,0.0434461484989356
"01201_05__052409_2020-10-20_15-26-16",2020-10-13,1,2,120.02,106.86,202.08,101.42,106.86,143.54,0.0201900237529691,0.876286619160728,0.0734131466004066
"01201_05__052409_2020-10-20_15-26-16",2020-10-15,1,4,120.85,110.04,162.92,79.58,110.04,138.96,0.0199484409526148,0.882334888288731,0.0765217391304348
"01201_05__052409_2020-10-20_15-26-16",2020-10-16,1,5,115.09,132.8,142.42,32.92,132.8,165.4,0.0351074287319197,0.619084398258672,0.136100714528751
"01201__036176_2021-03-12_22-54-02",2021-02-27,1,6,166.49,170.41,181.5,155.5,170.41,180.79,0.0670523415977961,0.894380165289256,0.0369617445943448
"01201__036176_2021-03-12_22-54-02",2021-02-28,1,7,133,128.7,170.5,64.58,128.7,162.99,0.0361876832844575,0.945278592375366,0.049637029223801
"01201__036176_2021-03-12_22-54-02",2021-03-02,1,2,138.3,165.67,141.83,90.17,165.67,186.34,0.0452654586476768,0.680392018613833,0.0621761658031088
"01201__036176_2021-03-12_22-54-02",2021-03-03,1,3,144.8,152.56,262.67,206.33,152.56,165.18,0.0485399931472951,0.858187078844177,0.0354893088457102
"01205_05__054088_2020-12-04_21-13-23",2020-11-26,2,4,116.63,67.84,69,43.17,67.84,148.33,0.00246376811594203,0.903333333333333,0.0802181934862827
"01205_05__054088_2020-12-04_21-13-23",2020-11-27,1,5,148.82,83.58,15.17,7.33,83.58,207.03,0.00527356624917601,0.83520105471325,0.15785319652723
"01205_05__054088_2020-12-04_21-13-23",2020-11-28,1,6,128.87,97.1,39,19.75,97.1,159.84,0.0235897435897436,0.816153846153846,0.125667609173735
"01205_05__054088_2020-12-04_21-13-23",2020-11-29,1,7,98.64,90.26,245.33,123.08,90.26,145.8,0.00884522887539233,0.631475971140912,0.0839142783372063
"01205_05__054088_2020-12-04_21-13-23",2020-11-29,2,7,93.47,60.88,131.33,75.83,60.88,121.85,0.00129444909769283,0.710043402116805,0.096514745308311
"01205_05__054088_2020-12-04_21-13-23",2020-11-30,1,1,125.14,59.04,43,36.08,59.04,130.11,0.00186046511627907,0.961162790697674,0.09678199854827
"01205_05__054088_2020-12-04_21-13-23",2020-12-01,3,2,133.34,61.91,114.67,91.42,61.91,152.26,0.00218016918112846,0.826981773785646,0.0738163028577454
"01205__054080_2021-04-23_09-12-14",2021-03-26,1,5,152.13,111.38,54,34.17,111.38,176.7,0.0338888888888889,0.969074074074074,0.0764379896808714
"01205__054080_2021-04-23_09-12-14",2021-03-26,2,5,100.1,50.91,38.33,28,50.91,115.5,0.00208713801200104,0.865379598225933,0.0904431715405487
"01205__054080_2021-04-23_09-12-14",2021-03-27,1,6,185.56,171.21,142.67,103.17,171.21,222.33,0.0800448587649821,0.879091610009112,0.0558124701004624
"01205__054080_2021-04-23_09-12-14",2021-03-27,3,6,203.9,107.41,16.5,15.33,107.41,214.43,0.0351515151515151,1,0.0606060606060606
"01205__054080_2021-04-23_09-12-14",2021-03-27,4,6,127.02,57.14,18.17,17.92,57.14,126.94,0.00440286186020914,1,0.0550357732526142
"01212_05__052414_2020-11-13_18-48-54",2020-11-13,1,5,94,33.13,45.67,45.25,33.13,94.46,0.00175169695642654,0.95971097000219,0.0684462696783025
