"ENMO_mean_wb5","ENMO_sd_wb5","dur_wb5","cad_wb5","v1","v2","v3"
73.14,57.39,16.5,59.82,0,0.889090909090909,0.136332651670075
93.59,43.96,15,84.6,0,1,0.0666666666666667
99.81,45.35,37.83,79.8,0,0.867829764736981,0.0913798355162961
85.83,30.4,10.08,79.15,0,1,0.0992063492063492
102.48,33.14,11.5,84.87,0,1,0.0869565217391304
178.84,44.6,107.58,104.77,0,0.980665551217698,0.018957345971564
85.97,54.2,20.17,68.73,0,0.876053544868617,0.169779286926995
115.94,63,28.83,77.9,0,0.852584113770378,0.122050447518308
105.94,32.88,20.83,86.59,0,0.968314930388862,0.0991571641051066
125.41,54.93,10.67,84.94,0,1,0.0937207122774133
138.75,58.26,10.33,87.19,0,1,0.0968054211035818
154.75,47.42,79.83,96.3,0,0.941625955154704,0.0532127178395637
67.17,38.6,32.17,67.49,0,0.815977618899596,0.114285714285714
65.38,32.95,18.58,70.5,0,0.910656620021529,0.118203309692671
81.78,25.25,11.08,94.67,0,1,0.0902527075812274
82.8,44.18,10.67,68.16,0,0.921274601686973,0.203458799593082
114.37,64.86,10.42,73.17,0,0.839731285988484,0.228571428571429
93.69,43.36,26,77.89,0,0.945384615384615,0.122050447518308
153.11,47.53,76.67,97.16,0,0.984739793922003,0.0264900662251656
193.14,90.67,40.75,90.08,0,0.914110429447853,0.0805369127516778
145.23,52.15,48.42,91.31,0,0.931020239570425,0.0665483584738243
75.73,65.94,80.25,56.26,0.0103426791277259,0.761121495327103,0.147347740667976
99.31,33.69,10.42,85.09,0,1,0.0959692898272553
70.55,28.74,11.75,67.94,0,0.964255319148936,0.176522506619594
73.68,59.64,46.92,55.22,0.0106564364876385,0.827578857630008,0.154519701261911
78.98,30.03,11.58,73.86,0,1,0.0863557858376511
83.74,62.44,55.25,54.29,0.00597285067873303,0.722533936651584,0.225450901803607
89.5,38.58,10.08,75.63,0,0.942460317460317,0.210526315789474
71.75,27.75,13.42,65.52,0,1,0.0745156482861401
68.58,27.11,10.42,56.83,0,1,0.0959692898272553
56.42,21.27,31.25,53.82,0,0.96,0.133333333333333
118.81,57.4,10,91.3,0,1,0.1
65,26.69,38.83,81.14,0,0.931496265773886,0.0552944429084877
61.94,28.99,19.17,77.48,0,0.947835159102765,0.110071546505228
42.55,23.62,14.67,61.02,0,0.965916837082481,0.141143260409315
53.52,21.8,21.5,65.35,0,0.887441860465116,0.157232704402516
42.08,35.94,23.75,49.86,0,0.824421052631579,0.153217568947906
71.24,19.85,11.92,89.46,0,1,0.0838926174496644
53.53,33.38,37.33,64.88,0,0.863916421109028,0.124031007751938
42.77,21.59,14.17,65.22,0,1,0.0705716302046577
56.05,18.56,18.08,72.55,0,0.977323008849558,0.113186191284663
69.42,17.68,10.25,82.93,0,1,0.0975609756097561
66.36,23.52,16.58,76.4,0,1,0.060313630880579
89.29,33.95,13.25,86.26,0,1,0.0754716981132075
87.09,30.85,15.08,82.94,0,0.906498673740053,0.146305779078274
66.7,28.99,13.75,70.54,0,0.872727272727273,0.166666666666667
232.84,58.67,33.75,113.68,0,1,0.0296296296296296
70.74,37.48,12.67,63,0,0.828729281767956,0.19047619047619
42.32,30.58,14.33,52.6,0,0.971388695045359,0.14367816091954
164.13,155.57,47.42,79.87,0.122943905525095,0.903205398566006,0.0933924819052066
80.19,62.27,14.25,61.46,0,0.807017543859649,0.173913043478261
